s_id,t_id
320,1
498,2
36,3
380,4
215,5
286,6
106,7
485,8
448,9
300,10
496,11
407,12
166,13
473,14
247,15
316,16
23,17
198,18
66,19
284,20
359,21
17,22
81,23
198,24
42,25
479,26
387,27
292,28
395,29
418,30
364,31
350,32
359,33
398,34
459,35
131,36
492,37
300,38
241,39
64,40
15,41
246,42
249,43
9,44
271,45
67,46
26,47
414,48
139,49
205,50
136,51
407,52
453,53
268,54
312,55
311,56
153,57
144,58
386,59
127,60
141,61
19,62
474,63
235,64
283,65
268,66
185,67
208,68
170,69
233,70
477,71
339,72
333,73
207,74
190,75
216,76
188,77
287,78
248,79
97,80
46,81
470,82
92,83
114,84
405,85
12,86
23,87
365,88
312,89
439,90
396,91
396,92
121,93
363,94
159,95
49,96
18,97
23,98
435,99
137,100
49,101
187,102
349,103
244,104
67,105
308,106
62,107
92,108
19,109
332,110
1,111
289,112
136,113
423,114
459,115
47,116
281,117
389,118
142,119
8,120
352,121
194,122
405,123
424,124
446,125
109,126
493,127
287,128
353,129
310,130
479,131
375,132
347,133
170,134
397,135
68,136
493,137
73,138
352,139
148,140
457,141
253,142
116,143
176,144
397,145
277,146
256,147
211,148
394,149
177,150
483,151
114,152
482,153
478,154
135,155
336,156
67,157
454,158
301,159
339,160
90,161
65,162
302,163
482,164
32,165
175,166
132,167
136,168
458,169
29,170
322,171
448,172
380,173
180,174
198,175
385,176
177,177
17,178
171,179
138,180
335,181
33,182
366,183
343,184
309,185
4,186
374,187
18,188
171,189
6,190
239,191
133,192
80,193
316,194
66,195
451,196
262,197
458,198
354,199
59,200
411,201
317,202
130,203
270,204
9,205
123,206
254,207
284,208
406,209
387,210
257,211
410,212
472,213
45,214
205,215
79,216
219,217
229,218
294,219
246,220
46,221
494,222
300,223
272,224
400,225
211,226
196,227
392,228
459,229
273,230
315,231
284,232
413,233
52,234
143,235
27,236
115,237
479,238
296,239
355,240
187,241
191,242
305,243
186,244
136,245
218,246
245,247
393,248
344,249
106,250
361,251
342,252
155,253
9,254
57,255
451,256
10,257
366,258
413,259
213,260
240,261
194,262
294,263
247,264
368,265
497,266
356,267
321,268
330,269
411,270
306,271
168,272
62,273
302,274
224,275
82,276
495,277
319,278
388,279
422,280
403,281
403,282
163,283
412,284
266,285
361,286
343,287
265,288
172,289
314,290
160,291
360,292
377,293
205,294
162,295
398,296
292,297
260,298
61,299
417,300
429,301
499,302
134,303
395,304
353,305
364,306
433,307
47,308
143,309
217,310
224,311
424,312
152,313
37,314
307,315
156,316
399,317
299,318
25,319
335,320
364,321
261,322
421,323
75,324
391,325
286,326
296,327
97,328
137,329
386,330
452,331
58,332
414,333
383,334
87,335
314,336
220,337
500,338
324,339
322,340
156,341
117,342
136,343
271,344
455,345
15,346
5,347
385,348
27,349
431,350
368,351
277,352
50,353
151,354
24,355
302,356
160,357
433,358
127,359
309,360
459,361
193,362
421,363
328,364
162,365
495,366
388,367
457,368
86,369
436,370
49,371
253,372
361,373
210,374
330,375
217,376
69,377
261,378
3,379
438,380
220,381
104,382
127,383
229,384
205,385
411,386
475,387
329,388
